iter	Passed	Remaining
0	46	45998
1	46	23046
2	46	15384
3	46	11558
4	46	9263
5	46	7720
6	46	6630
7	46	5812
8	47	5177
9	47	4670
10	47	4253
11	47	3905
12	47	3610
13	47	3358
14	47	3140
15	47	2950
16	48	2778
17	48	2628
18	48	2495
19	48	2374
20	48	2265
21	48	2167
22	48	2076
23	49	1993
24	49	1913
25	49	1840
26	49	1775
27	49	1714
28	49	1658
29	49	1605
30	49	1555
31	49	1507
32	49	1464
33	50	1423
34	50	1384
35	50	1348
36	50	1313
37	50	1280
38	50	1250
39	50	1219
40	50	1192
41	51	1165
42	51	1140
43	51	1116
44	51	1093
45	51	1071
46	51	1050
47	51	1029
48	52	1009
49	52	990
50	52	972
51	52	954
52	52	937
53	52	921
54	52	906
55	52	891
56	53	876
57	53	863
58	53	849
59	53	836
60	53	823
61	53	811
62	53	799
63	53	787
64	54	776
65	54	766
66	54	755
67	54	745
68	54	735
69	54	725
70	54	716
71	54	707
72	54	698
73	55	689
74	55	681
75	55	673
76	55	665
77	55	657
78	55	649
79	55	642
80	55	635
81	56	627
82	56	621
83	56	614
84	56	607
85	56	601
86	56	594
87	56	588
88	56	582
89	57	576
90	57	571
91	57	565
92	57	559
93	57	554
94	57	548
95	57	543
96	57	538
97	57	533
98	58	528
99	58	523
100	58	519
101	58	514
102	58	510
103	58	505
104	58	501
105	58	497
106	59	493
107	59	488
108	59	485
109	59	481
110	59	477
111	59	473
112	59	469
113	59	466
114	60	462
115	60	459
116	60	455
117	60	452
118	60	448
119	60	445
120	60	442
121	60	438
122	61	435
123	61	432
124	61	429
125	61	426
126	61	423
127	61	420
128	61	417
129	62	414
130	62	412
131	62	409
132	62	406
133	62	404
134	62	401
135	62	398
136	62	396
137	63	393
138	63	391
139	63	388
140	63	386
141	63	383
142	63	381
143	63	379
144	63	376
145	64	374
146	64	372
147	64	369
148	64	367
149	64	365
150	64	363
151	64	361
152	64	359
153	64	357
154	65	354
155	65	352
156	65	350
157	65	348
158	65	347
159	65	345
160	65	343
161	65	341
162	66	339
163	66	337
164	66	335
165	66	334
166	66	332
167	66	330
168	66	328
169	66	327
170	67	325
171	67	323
172	67	322
173	67	320
174	67	318
175	67	317
176	67	315
177	67	313
178	68	312
179	68	310
180	68	309
181	68	307
182	68	306
183	68	304
184	68	303
185	68	301
186	69	300
187	69	298
188	69	297
189	69	296
190	69	294
191	69	293
192	69	291
193	69	290
194	70	289
195	70	287
196	70	286
197	70	285
198	70	284
199	70	282
200	70	281
201	70	280
202	71	278
203	71	277
204	71	276
205	71	275
206	71	274
207	71	272
208	71	271
209	71	270
210	72	269
211	72	268
212	72	267
213	72	266
214	72	264
215	72	263
216	72	262
217	72	261
218	73	260
219	73	259
220	73	258
221	73	257
222	73	256
223	73	255
224	73	254
225	73	253
226	74	252
227	74	251
228	74	250
229	74	249
230	74	248
231	74	247
232	74	246
233	74	245
234	74	244
235	75	243
236	75	242
237	75	241
238	75	240
239	75	239
240	75	238
241	75	237
242	75	236
243	76	235
244	76	234
245	76	233
246	76	233
247	76	232
248	76	231
249	76	230
250	76	229
251	77	228
252	77	227
253	77	227
254	77	226
255	77	225
256	77	224
257	77	223
258	77	223
259	78	222
260	78	221
261	78	220
262	78	219
263	78	219
264	78	218
265	78	217
266	78	216
267	79	215
268	79	215
269	79	214
270	79	213
271	79	212
272	79	212
273	79	211
274	79	210
275	80	210
276	80	209
277	80	208
278	80	207
279	80	207
280	80	206
281	80	205
282	80	205
283	81	204
284	81	203
285	81	202
286	81	202
287	81	201
288	81	200
289	81	200
290	81	199
291	82	198
292	82	198
293	82	197
294	82	196
295	82	196
296	82	195
297	82	195
298	82	194
299	83	193
300	83	193
301	83	192
302	83	191
303	83	191
304	83	190
305	83	190
306	83	189
307	84	188
308	84	188
309	84	187
310	84	187
311	84	186
312	84	185
313	84	185
314	84	184
315	85	184
316	85	183
317	85	183
318	85	182
319	85	181
320	85	181
321	85	180
322	85	180
323	86	179
324	86	179
325	86	178
326	86	177
327	86	177
328	86	176
329	86	176
330	86	175
331	87	175
332	87	174
333	87	174
334	87	173
335	87	173
336	87	172
337	87	171
338	87	171
339	87	170
340	88	170
341	88	169
342	88	169
343	88	168
344	88	168
345	88	167
346	88	167
347	88	166
348	89	166
349	89	165
350	89	165
351	89	164
352	89	164
353	89	163
354	89	163
355	89	162
356	90	162
357	90	161
358	90	161
359	90	160
360	90	160
361	90	159
362	90	159
363	90	158
364	91	158
365	91	157
366	91	157
367	91	157
368	91	156
369	91	156
370	91	155
371	91	155
372	91	154
373	92	154
374	92	153
375	92	153
376	92	152
