,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,id_date,date,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth,precipitation_n,snow fall_n,snow depth_n,hour,daily_trip_count,distance_km,coordinates_pickupp,coordinates_dropofff,index_right,NATName_p,BoroName_p,NATName_d,BoroName_d
0,id2377394,1,2016-06-12 00:43:35,2016-06-12 00:54:38,1,-73.98041534423827,40.738563537597656,-73.99948120117188,40.731151580810554,N,663,2016-06-12,2016-06-12,46,37,41.5,0.35,0,0,0.35,0.0,0.0,0,264,1.8055071687965203,POINT (-73.98041534423827 40.738563537597656),POINT (-73.99948120117188 40.731151580810554),133,Murray Hill-Kips Bay,Manhattan,Greenwich Village,Manhattan
1,id3504673,2,2016-04-06 19:32:31,2016-04-06 19:39:40,1,-74.01004028320312,40.719970703125,-74.01226806640625,40.70671844482422,N,429,2016-04-06,2016-04-06,83,66,74.5,0.40,0.0,0,0.4,0.0,0.0,19,342,1.4854984227709385,POINT (-74.01004028320312 40.719970703125),POINT (-74.01226806640625 40.70671844482422),119,Tribeca-Civic Center,Manhattan,Financial District-Battery Park City,Manhattan
2,id0012891,2,2016-03-10 21:45:01,2016-03-10 22:05:26,1,-73.98104858398438,40.744338989257805,-73.9729995727539,40.78998947143555,N,1225,2016-03-10,2016-03-10,72,60,66.0,0,0,0,0.0,0.0,0.0,21,375,5.1211615621414746,POINT (-73.98104858398438 40.744338989257805),POINT (-73.9729995727539 40.78998947143555),133,Murray Hill-Kips Bay,Manhattan,Upper West Side (Central),Manhattan
3,id1436371,2,2016-05-10 22:08:41,2016-05-10 22:29:55,1,-73.98265075683594,40.76383972167969,-74.00222778320312,40.73299026489258,N,1274,2016-05-10,2016-05-10,67,53,60.0,0,0,0,0.0,0.0,0.0,22,317,3.806139394875776,POINT (-73.98265075683594 40.76383972167969),POINT (-74.00222778320312 40.73299026489258),130,Midtown-Times Square,Manhattan,West Village,Manhattan
4,id0799785,2,2016-06-01 20:58:29,2016-06-01 21:02:49,1,-73.95630645751953,40.76794052124024,-73.96611022949219,40.76300048828125,N,260,2016-06-01,2016-06-01,41,25,33.0,0.00,0.0,0,0.0,0.0,0.0,20,348,0.9916848505447494,POINT (-73.95630645751953 40.76794052124024),POINT (-73.96611022949219 40.76300048828125),139,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,Upper East Side-Carnegie Hill,Manhattan
5,id3379579,2,2016-04-11 17:29:50,2016-04-11 18:08:26,1,-73.99116516113281,40.75556182861328,-73.9992904663086,40.7253532409668,N,2316,2016-04-11,2016-04-11,61,47,54.0,0,0,0,0.0,0.0,0.0,17,316,3.428085961968358,POINT (-73.99116516113281 40.75556182861328),POINT (-73.9992904663086 40.7253532409668),128,Hell's Kitchen,Manhattan,SoHo-Little Italy-Hudson Square,Manhattan
6,id3390316,2,2016-06-05 13:47:23,2016-06-05 13:51:34,1,-73.98388671875,40.73819732666016,-73.99120330810547,40.7278709411621,N,251,2016-06-05,2016-06-05,54,48,51.0,0.54,0.0,0,0.54,0.0,0.0,13,304,1.303271217237264,POINT (-73.98388671875 40.73819732666016),POINT (-73.99120330810547 40.7278709411621),132,Gramercy,Manhattan,East Village,Manhattan
7,id0809232,2,2016-04-01 12:12:25,2016-04-01 12:23:17,1,-73.9795379638672,40.753360748291016,-73.96399688720702,40.763458251953125,N,652,2016-04-01,2016-04-01,36,14,25.0,0.00,0.0,0,0.0,0.0,0.0,12,348,1.7245501055857604,POINT (-73.9795379638672 40.753360748291016),POINT (-73.96399688720702 40.763458251953125),130,Midtown-Times Square,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan
8,id2352683,1,2016-04-09 03:34:27,2016-04-09 03:41:30,1,-73.99586486816406,40.7588119506836,-73.99332427978516,40.74032211303711,N,423,2016-04-09,2016-04-09,80,65,72.5,0,0,0,0.0,0.0,0.0,3,389,2.067084866081809,POINT (-73.99586486816406 40.7588119506836),POINT (-73.99332427978516 40.74032211303711),128,Hell's Kitchen,Manhattan,Midtown South-Flatiron-Union Square,Manhattan
9,id3321406,2,2016-06-03 08:15:05,2016-06-03 08:56:30,1,-73.95523071289062,40.77713394165039,-73.78874969482422,40.64147186279297,N,2485,2016-06-03,2016-06-03,44,32,38.0,0.00,0.0,0,0.0,0.0,0.0,8,359,20.602575015675654,POINT (-73.95523071289062 40.77713394165039),POINT (-73.78874969482422 40.64147186279297),140,Upper East Side-Carnegie Hill,Manhattan,John F. Kennedy International Airport,Queens
10,id3075902,2,2016-05-10 19:27:38,2016-05-10 19:44:40,2,-74.00550079345702,40.706588745117195,-73.9858169555664,40.74420166015625,N,1022,2016-05-10,2016-05-10,67,53,60.0,0,0,0,0.0,0.0,0.0,19,317,4.4992843039937584,POINT (-74.00550079345702 40.706588745117195),POINT (-73.9858169555664 40.74420166015625),118,Financial District-Battery Park City,Manhattan,Midtown South-Flatiron-Union Square,Manhattan
11,id3970352,1,2016-01-09 12:55:35,2016-01-09 13:07:22,1,-74.00899505615233,40.712589263916016,-73.99863433837889,40.72280883789063,N,707,2016-01-09,2016-01-09,79,69,74.0,0.5,0,0,0.5,0.0,0.0,12,366,1.4330995932988797,POINT (-74.00899505615233 40.712589263916016),POINT (-73.99863433837889 40.72280883789063),119,Tribeca-Civic Center,Manhattan,SoHo-Little Italy-Hudson Square,Manhattan
