"season","month","mean","minn","maxx"
"winter","01",34.45,28.13,40.77
"winter","02",37.71,30.59,44.83
"spring","03",48.87,40.35,57.39
"spring","04",53.33,44.43,62.23
"spring","05",62.79,54.97,70.61
"summer","06",72.25,63.57,80.93
"summer","07",78.68,71.1,86.26
"summer","08",79.18,71.77,86.58
"summer","09",71.8,64.57,79.03
"autumn","10",58.76,51.74,65.77
"autumn","11",49.77,42.93,56.6
"winter","12",38.34,32.81,43.87
null,null,57.22,49.81,64.63
"summer",null,75.53,67.81,83.25
"winter",null,36.81,30.51,43.12
"spring",null,55.02,46.61,63.42
"autumn",null,54.34,47.41,61.26
